label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,091215_240M,091215_240i,091215_120M,091215_120i,091215_45M,091215_45i,091215_15M,091215_15i,091215_5M,091215_5i,091215_3M,091215_3i,091215_1M,091215_1i,091215_0M,091215_0i
,0,5414,12,410.7424,6.986672,0.6890918,,,,,0,0,410.7424,2342.207,2376.922,2047.057,2076.181,2385.694,2276.542,2986.119,2416.165,1857.184,2861.395,3078.228,2088.195,1992.209,2012.94,2446.889,2448.3
,0,5415,9,670.4923,11.43403,0.8170138,,,,,0,0,670.4923,2953.871,2880.937,2635.537,3166.119,2732.698,2740.031,2536.539,3511.781,2202.903,2533.016,2355.295,2960.779,2236.397,2431.373,2341.138,1950.337
,0,5416,8,386.1864,12.68487,0.6464295,,,,,0,0,386.1864,1621.472,1968.146,1304.055,1683.256,2138.721,2569.993,1541.743,1870.654,1963.141,2247.642,1783.469,1415.101,1780.282,2119.768,1594.914,1808.859
,0,5417,12,422.2558,17.34365,0.8287842,,,,,0,0,422.2558,2558.87,1925.425,2405.022,1691.027,1843.734,1742.666,2121.1,1860.545,1774.675,1455.98,2121.098,2119.888,1762.201,2069.604,1734.598,1843.217
,0,5418,2,621.0524,13.18845,0.5507934,,,,,0,0,621.0524,1581.177,1537.601,1991.703,1470.448,1486.456,1161.75,1813.068,1847.705,1345.434,940.7681,1374.86,1410.497,1568.257,1140.82,1583.985,876.0833
,0,5419,16,318.2191,18.25558,0.8440438,,,,,0,0,318.2191,3058.727,2738.567,2565.928,3294.797,2732.712,3057.787,2176.035,2805.091,2221.196,2616.316,2604.177,3057.642,2456.963,2895.415,2991.392,3059.337
,0,5420,9,816.6561,13.69301,0.8305972,,,,,0,0,816.6561,2899.763,2039.793,1734.442,2044.212,1931.496,2504.014,1925.304,2472.478,1397.579,2343.244,938.3802,1875.948,1678.958,1842.576,1873.167,1904.142
,0,5421,13,358.2244,17.17133,0.8315967,,,,,0,0,358.2244,2710.292,2368.952,2443.045,3017.016,3091.416,2737.992,2997.779,2438.608,2147.997,2290.185,2757.314,2559.601,2245.109,2666.119,2271.082,2351.546
,0,5422,14,378.7019,6.987628,0.7980387,,,,,0,0,378.7019,2210.505,2466.906,2530.623,2853.332,3458.026,2697.41,2362.117,2138.06,2566.045,2797.075,2822.561,2536.354,2579.317,3224.378,2287.062,2395.355
,0,5423,5,278.1405,16.76578,0.7746314,,,,,0,0,278.1405,2460.495,1989.838,2174.205,2331.071,1772.6,2254.656,2204.078,1952.66,2050.67,1584.385,1311.29,2406.328,2438.826,1051.133,1789.84,1738.607
,0,5424,14,301.1059,14.59262,0.8459128,,,,,0,0,301.1059,1949.123,2830.769,2385.932,2300.808,2546.688,2160.45,2097.993,2386.818,2309.641,2553.011,1844.581,2587.969,1893.764,1716.463,1645.499,2312.945
,0,5425,16,300.0941,11.26554,0.8385699,,,,,0,0,300.0941,2337.652,1931.762,3006.915,2108.906,2614.804,1518.907,2904.394,1904.005,2550.604,2662.223,2302.77,2467.705,3018.438,2416.863,3304.405,2432.036
,0,5426,11,313.1831,17.69015,0.8408991,,,,,0,0,313.1831,2890.946,1812.529,2454.679,2117.328,2396.163,3220.371,3110.494,2631.275,2574.121,3246.135,2726.913,1949.58,1840.588,2689.898,1681.624,2006.148
,0,5427,13,151.0383,15.76352,0.8093808,,,,,0,0,151.0383,2706.6,2631.469,2514.396,2800.506,2251.375,2421.018,2243.682,3182.496,2299.907,2538.65,2379.346,2379.838,2299.657,2678.155,2073.036,3223.813
,0,5428,16,319.167,16.71441,0.8436395,,,,,0,0,319.167,2382.241,2411.211,2546.758,2328.99,2233.434,3075.1,2745.444,2246.852,2625.811,1725.56,2219.395,2572.987,2008.115,2078.64,2482.729,2152.598
,0,5429,11,432.2959,18.20131,0.7970206,,,,,0,0,432.2959,2229.413,1835.705,2542.038,2245.073,2370.652,2242.852,1807.929,1704.896,1809.799,2062.697,2306.64,2167.459,2668.647,2353.168,2096.197,2339.663
,0,5430,10,198.1137,15.94056,0.7960775,,,,,0,0,198.1137,3048.827,2972.306,2495.984,2795.101,2643.531,2146.932,3062.131,2655.839,2412.795,2845.402,3096.274,2715.293,2483.703,2187.334,3168.826,6572.18
,0,5431,0,818.6292,18.97239,0.4183719,,,,,0,0,818.6292,2506.764,2400.249,2001.849,2836.706,2804.016,3159.775,2331.566,2776.995,2322.242,2537.464,2516.431,2512.593,2431.88,1548.677,1762.877,1248.426
,0,5432,1,258.931,8.058604,0.5713612,,,,,0,0,258.931,1332.89,1311.993,2029.439,1497.763,1729.236,1671.127,1941.547,1523.998,1396.273,1446.47,1464.835,1457.223,1854.076,1201.724,1337.347,1667.109
,0,5433,6,319.2413,8.898155,0.8277475,,,,,0,0,319.2413,2369.556,2380.995,2292.795,2011.258,2311.502,2224.761,1869.191,1991.955,2085.674,2344.738,1843.293,1542.184,1490.591,2049.381,1892.054,2602.987
,0,5434,13,675.0243,14.27274,0.8272989,,,,,0,0,675.0243,2710.044,2580.198,2387.54,2918.305,2174.829,2781.392,2228.956,3078.854,2197.976,2973.714,2243.721,2787.095,2524.974,3525.063,2933.727,3128.937
,0,5435,15,265.0081,14.27847,0.7922522,,,,,0,0,265.0081,2486.363,2745.171,2356.562,2405.101,2298.385,2842.589,1966.736,2393.264,2169.887,2662.565,2478.448,2534.488,2527.807,2736.98,2497.116,2242.735
,0,5436,6,300.0268,16.77721,0.6149001,,,,,0,0,300.0268,1597.912,1348.76,1135.504,1192.814,1620.047,1759.73,1364.389,2201.873,2093.185,1526.415,1664.693,1504.319,1626.124,1981.776,1449.162,1699.93
,0,5437,12,619.094,16.06433,0.8281553,,,,,0,0,619.094,2350.983,2277.821,1593.891,1886.199,2713.128,2474.43,2204.103,1554.484,1873.584,2174.158,2056.436,2151.06,1398.122,1604.821,2490.153,2023.407
,0,5438,12,323.1856,17.19608,0.8361719,,,,,0,0,323.1856,1827.869,2137.604,1177.833,2116.715,1788.175,2452.916,1921.714,1898.334,1507.958,2171.885,1848.391,2065.768,1762.289,2704.967,2052.468,2870.558
,0,5439,16,604.0686,11.27982,0.8460053,,,,,0,0,604.0686,2399.569,2261.769,3028.673,2421.13,2338.63,2347.84,3070.223,3382.663,2480.316,3351.156,2578.955,2351.999,2296.033,2785.885,2506.969,2703.842
,0,5440,15,225.0381,14.07284,0.7907447,,,,,0,0,225.0381,1973.344,2609.258,2090.091,2946.497,1668.137,2614.977,1865.327,3322.039,1434.207,2194.468,1436.047,2510.801,2061.337,2269.311,1607.716,2772.549
,0,5441,3,753.5653,18.86199,0.7349256,,,,,0,0,753.5653,2768.508,2278.446,2638.025,2416.763,2248.866,2642.452,2692.616,2507.095,2272.248,2580.204,2126.747,5172.48,4250.375,2890.658,4426.749,3761.767
,0,5442,3,753.5653,19.04192,0.7086923,,,,,0,0,753.5653,2292.662,4029.915,2893.506,2327.391,3154.814,2427.563,3230.565,4329.312,3354.609,3551.584,2937.267,5061.662,4759.133,2965.27,5175.595,4840.788
,0,5443,6,128.0272,7.619669,0.7329034,,,,,0,0,128.0272,3433.188,4232.283,6036.939,3346.407,9496.003,3000.273,10603.35,4982.248,22556.3,8890.859,4393.18,2012.595,7901.255,5117.293,2596.152,2788.37
,0,5444,16,351.2379,17.31697,0.8439861,,,,,0,0,351.2379,2351.299,3577.416,2536.225,2775.38,2303.188,3089.674,2403.972,2453.781,2117.931,2733.964,1858.715,2798.492,2428.374,2459.81,3010.574,2803.206
,0,5445,16,257.1953,14.29559,0.8306844,,,,,0,0,257.1953,2751.594,2623.574,3137.029,2655.55,2188.546,2232.469,2215.13,2941.489,2216.675,2622.751,2580.493,2604.461,2483.27,1997.154,2055.689,2526.178
,0,5446,10,485.3031,17.54737,0.8116871,,,,,0,0,485.3031,1872.18,3096.987,2583.999,1893.105,2560.431,3024.279,2585.643,2152.463,2630.97,2744.786,2624.552,1941.641,2691.033,2118.155,1280.374,2295.154
,0,5447,15,342.9805,17.0209,0.8454688,,,,,0,0,342.9805,2980.491,2607.906,2534.768,2738.518,2820.238,1906.778,2525.222,2366.29,2379.183,1789.504,2636.694,2361.91,2964.281,2699.35,2801.758,1960.4
